"Genus_species","Order","Family","CFAR","ProportionalGillAverage","AvgTemperature","MaximumBodySize","PrimaryHabitat","IUCNcategory","WaterColumnPosition"
"Chiloscyllium_punctatum","Orectolobiformes","Hemiscylliidae",0.8066666667,0.0426,26.5486025941103,132,"Coastal","NT","Benthic"
"Cirrhigaleus_asper","Squaliformes","Squalidae",2.133333333,0.0362,16.1587384701025,123.5,"Deepwater","DD","Benthic"
"Cirrhigaleus_australis","Squaliformes","Squalidae",2.025,0.0232,13.9583183634982,123,"Deepwater","DD","Benthic"
"Cirrhigaleus_barbifer","Squaliformes","Squalidae",2.314285714,0.0262,10.7271103166554,126,"Deepwater","LC","Benthopelagic"
"Cirrhoscyllium_expolitum","Orectolobiformes","Parascyllidae",0.5444444444,0.017,15.7916200110253,33.5,"Coastal","DD","Benthic"
"Cirrhoscyllium_formosanum","Orectolobiformes","Parascyllidae",0.45,0.0188,17.3252280790414,43,"Coastal","VU","Benthic"
"Cirrhoscyllium_japonicum","Orectolobiformes","Parascyllidae",0.4,0.014,13.0400106679826,49,"Deepwater","LC","Benthic"
"Ctenacis_fehlmanni","Carcharhiniformes","Proscyllidae",0.909,0.0308,19.0384232187474,52,"Coastal","LC","Benthic"
"Dalatias_licha","Squaliformes","Dalatiidae",1.505882353,0.0188,12.0728756727557,182,"Deepwater","VU","Benthopelagic"
"Deania_profundorum","Squaliformes","Centrophoridae",1.107692308,0.0306,8.80717909660512,97,"Deepwater","NT","Benthopelagic"
"Deania_quadrispinosa","Squaliformes","Centrophoridae",1.44,0.0284,9.68688225709337,118,"Deepwater","VU","Benthopelagic"
"Dichichthys_albimarginatus","Carcharhiniformes","Pentanchidae",0.9142857143,0.0212,6.90063218214573,57.7,"Deepwater","LC","Benthic"
"Dichichthys_bigus","Carcharhiniformes","Pentanchidae",0.8166666667,0.0142,8.65333461761475,71,"Deepwater","DD","Benthic"
"Dichichthys_melanobranchus","Carcharhiniformes","Pentanchidae",0.3769230769,0.0198,6.15831953009698,85,"Deepwater","LC","Benthic"
"Echinorhinus_brucus","Echinorhiniformes","Echinorhinidae",1.071428571,0.0484,14.8633070438803,394,"Deepwater","EN","Benthopelagic"
"Echinorhinus_cookei","Echinorhiniformes","Echinorhinidae",1.538461538,0.0552,13.1264635927929,450,"Deepwater","DD","Benthopelagic"
"Eridacnis_barbouri","Carcharhiniformes","Proscyllidae",0.3272727273,0.0126,12.8096876825605,34,"Deepwater","LC","Benthic"
"Eridacnis_radcliffei","Carcharhiniformes","Proscyllidae",0.36,0.0138,16.523886897213,24,"Deepwater","LC","Benthic"
"Eridacnis_sinuans","Carcharhiniformes","Proscyllidae",0.4083333333,0.0086,13.1771714290665,37,"Deepwater","LC","Benthic"
"Etmopterus_bigelowi","Squaliformes","Etmopteridae",0.7363636364,0.0282,17.1780801959567,73,"Deepwater","LC","Benthopelagic"
"Etmopterus_brachyurus","Squaliformes","Etmopteridae",0.6230769231,0.0208,10.0919852769365,50,"Deepwater","DD","Benthopelagic"
"Etmopterus_bullisi","Squaliformes","Etmopteridae",0.9090909091,0.0214,13.2761126635832,30,"Deepwater","LC","Benthopelagic"
"Etmopterus_burgessi","Squaliformes","Etmopteridae",1.309090909,0.019,11.0052365347055,40.6,"Deepwater","LC","Benthopelagic"
"Etmopterus_carteri","Squaliformes","Etmopteridae",0.8333333333,0.032,10.9336909717984,21,"Deepwater","LC","Benthopelagic"
"Etmopterus_caudistigmus","Squaliformes","Etmopteridae",1.344444444,0.013,6.94343191733727,34,"Deepwater","LC","Benthopelagic"
"Etmopterus_compagnoi","Squaliformes","Etmopteridae",1.107692308,0.029,7.71106266181705,67,"Deepwater","LC","Benthopelagic"
"Etmopterus_decacuspidatus","Squaliformes","Etmopteridae",0.64,0.0164,7.47329249382019,29.2,"Deepwater","LC","Benthopelagic"
"Etmopterus_dianthus","Squaliformes","Etmopteridae",1.44,0.0148,5.67787655846017,41,"Deepwater","LC","Benthopelagic"
"Etmopterus_dislineatus","Squaliformes","Etmopteridae",0.9142857143,0.0108,6.86530088208516,45,"Deepwater","LC","Benthopelagic"
"Etmopterus_evansi","Squaliformes","Etmopteridae",1.1,0.0134,8.5049659892637,30,"Deepwater","LC","Benthopelagic"
"Etmopterus_fusus","Squaliformes","Etmopteridae",1.008333333,0.0182,8.74655332124436,29,"Deepwater","LC","Benthopelagic"
"Etmopterus_gracilispinis","Squaliformes","Etmopteridae",0.7692307692,0.019,13.9116628392853,33,"Deepwater","LC","Benthopelagic"
"Etmopterus_hillianus","Squaliformes","Etmopteridae",0.81,0.0164,14.8897279944191,30,"Deepwater","LC","Benthopelagic"
"Etmopterus_joungi","Squaliformes","Etmopteridae",1.44,0.0222,9.03763679442582,45.6,"Deepwater","LC","Benthic"
"Etmopterus_litvinovi","Squaliformes","Etmopteridae",1.323529412,0.0218,4.66510419632978,61,"Deepwater","LC","Benthopelagic"
"Etmopterus_lucifer","Squaliformes","Etmopteridae",0.7692307692,0.0214,8.99951733999106,47,"Deepwater","LC","Benthopelagic"
"Etmopterus_molleri","Squaliformes","Etmopteridae",1.111111111,0.0202,8.77663540048949,46,"Deepwater","DD","Benthopelagic"
"Etmopterus_perryi","Squaliformes","Etmopteridae",0.9307692308,0.0198,12.1810488649868,21,"Deepwater","LC","Benthopelagic"
"Etmopterus_polli","Squaliformes","Etmopteridae",0.9307692308,0.0194,7.72934621719927,24.1,"Deepwater","LC","Benthopelagic"
"Etmopterus_princeps","Squaliformes","Etmopteridae",1.225,0.0258,6.14616948654593,96,"Deepwater","LC","Benthopelagic"
"Etmopterus_pseudosqualiolus","Squaliformes","Etmopteridae",1.781818182,0.0192,5.78068873190814,45,"Deepwater","LC","Benthopelagic"
"Etmopterus_pusillus","Squaliformes","Etmopteridae",0.7363636364,0.026,11.9813802781627,50.2,"Deepwater","LC","Benthopelagic"
"Etmopterus_pycnolepis","Squaliformes","Etmopteridae",1.207142857,0.0222,7.27270549895962,45,"Deepwater","LC","Benthopelagic"
"Etmopterus_robinsi","Squaliformes","Etmopteridae",0.8066666667,0.027,11.080384018299,34,"Deepwater","LC","Benthopelagic"
"Etmopterus_schultzi","Squaliformes","Etmopteridae",0.675,0.0132,9.83690220286269,30,"Deepwater","LC","Benthopelagic"
"Etmopterus_sculptus","Squaliformes","Etmopteridae",0.81,0.0268,9.13063642282409,53,"Deepwater","LC","Benthopelagic"
"Etmopterus_sentosus","Squaliformes","Etmopteridae",0.7363636364,0.0134,13.1107948988083,27,"Deepwater","LC","Benthopelagic"
"Etmopterus_sheikoi","Squaliformes","Etmopteridae",0.81,0.0098,11.7862474918365,43.2,"Deepwater","LC","Benthic"
"Etmopterus_spinax","Squaliformes","Etmopteridae",0.4923076923,0.0096,10.3432699709544,55,"Deepwater","VU","Benthopelagic"
"Etmopterus_splendidus","Squaliformes","Etmopteridae",1.207142857,0.0236,18.3360796467382,30.7,"Deepwater","LC","Benthopelagic"
"Etmopterus_unicolor","Squaliformes","Etmopteridae",1.107692308,0.0182,8.42769304111147,79,"Deepwater","DD","Benthopelagic"
"Etmopterus_viator","Squaliformes","Etmopteridae",1.905882353,0.0402,2.64101181425085,58,"Deepwater","LC","Benthic"
